observation_date,PCECTPI_PC1,UNRATE
2009-07-01,-1.19595,9.6
2009-10-01,1.18156,9.9
2010-01-01,2.26353,9.8
2010-04-01,2.01622,9.6
2010-07-01,1.51219,9.5
2010-10-01,1.38039,9.5
2011-01-01,1.83861,9.0
2011-04-01,2.68056,9.1
2011-07-01,2.95834,9.0
2011-10-01,2.64083,8.6
2012-01-01,2.45985,8.3
2012-04-01,1.70696,8.2
2012-07-01,1.53273,8.0
2012-10-01,1.76625,7.8
2013-01-01,1.45068,7.7
2013-04-01,1.25847,7.5
2013-07-01,1.38062,7.2
2013-10-01,1.18580,6.9
2014-01-01,1.29584,6.7
2014-04-01,1.69724,6.2
2014-07-01,1.55681,6.1
2014-10-01,1.05035,5.7
2015-01-01,0.13754,5.5
2015-04-01,0.18841,5.4
2015-07-01,0.17558,5.1
2015-10-01,0.23133,5.0
2016-01-01,0.73222,4.9
2016-04-01,0.86834,4.9
2016-07-01,0.95424,4.9
2016-10-01,1.49451,4.8
2017-01-01,2.03613,4.6
2017-04-01,1.59642,4.4
2017-07-01,1.60413,4.3
2017-10-01,1.74740,4.2
2018-01-01,1.86488,4.0
2018-04-01,2.19406,3.9
2018-07-01,2.17635,3.8
2018-10-01,1.95280,3.8
2019-01-01,1.45098,3.9
2019-04-01,1.48560,3.6
2019-07-01,1.38968,3.6
