year,month ,cpi,foodandbev,housing
2023,M11,308.087,323.296,325.457
2023,M12,308.735,323.898,326.476
2024,M01,309.794,325.014,328.362
2024,M02,311.022,325.257,329.645
2024,M03,312.107,325.455,331.013
2024,M04,313.016,325.86,331.746
2024,M05,313.14,326.306,332.654
2024,M06,313.131,327.089,333.42
2024,M07,313.566,327.565,334.521
2024,M08,314.131,328.057,335.606
2024,M09,314.851,329.075,336.524
2024,M10,315.564,329.809,337.759
2024,M11,316.449,330.809,338.894
2024,M12,317.603,331.642,339.853
2025,M01,319.086,332.84,340.995
2025,M02,319.775,333.45,342.32
2025,M03,319.615,334.859,343.292
2025,M04,320.321,334.616,344.919
2025,M05,320.58,335.489,345.867
2025,M06,321.5,336.555,346.957
2025,M07,322.132,336.718,347.713
2025,M08,323.364,338.285,348.967
2025,M09,324.368,339.115,349.516
